p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
12331632,Nad Al Shiba First,674-,,,,,,,,,,,,,,1329.62,6183868,Meydan,,
12331634,Nad Al Shiba First,675-,,MGV-A18A,,,,,,,,,,,,1329.66,6183867,Meydan,,
12331636,Nad Al Shiba First,676-,,MGV-A18B,,,,,,,,,,,,1329.6,6183869,Meydan,,
12331638,Nad Al Shiba First,677-,,MGV-A19A,,,,,,,,,,,,1615.0,6183870,Meydan,,
12339610,Nad Al Shiba First,678-,,,,,,,,,,,,,,1643.0,6183852,Meydan,,Public Facilities
12339642,Nad Al Shiba First,679-,,,,,,,,,,,,,,1643.0,6183853,Meydan,,Public Facilities
12339644,Nad Al Shiba First,680-,,,,,,,,,,,,,,1643.0,6183854,Meydan,,Public Facilities
12339646,Nad Al Shiba First,681-,,,,,,,,,,,,,,1643.0,6183850,Meydan,,Public Facilities
12339648,Nad Al Shiba First,682-,,,,,,,,,,,,,,1643.0,6183851,Meydan,,Public Facilities
12358129,Nad Al Shiba First,683-,,MGV-A47A,,,,,,,,,,,,1602.39,6183892,Meydan,,
12358131,Nad Al Shiba First,684-,,MGV-A46B,,,,,,,,,,,,1602.6,6183893,Meydan,,
12358489,Nad Al Shiba First,685-,,,,,,,,,,,,,,1452.2,6184150,Meydan,,
25622900,Nad Al Shiba First,705-,,,,,,,,,,,,,,5385.63,6187254,Meydan,,Public Facilities
25622902,Nad Al Shiba First,706-,,,,,,,,,,,,,,392.22,6189042,Meydan,,Public Facilities
25622904,Nad Al Shiba First,707-,,,,,,,,,,,,,,283.39,6189041,Meydan,,Public Facilities
6894363,Nad Al Shiba First,79-,,MRV-027,,,,,,,,,,,,3932.0,,Meydan,,Public Facilities
6894365,Nad Al Shiba First,80-,,MRV-029,,,,,,,,,,,,8091.0,6187548,Meydan,,Public Facilities
10307476,Nad Al Shiba First,92-,,,,,,,,,,,,,,252.0,6189018,Meydan,,Public Facilities
10307478,Nad Al Shiba First,93-,,,,,,,,,,,,,,270.01,6189073,Meydan,,Public Facilities
10307480,Nad Al Shiba First,94-,,,,,,,,,,,,,,358.06,6189021,Meydan,,Public Facilities
27026739,Nad Al Shiba First,945-,,,,,,,,,,,,,,9291.0,6187565,Meydan,,Public Facilities
27026741,Nad Al Shiba First,946-,,,,,,,,,,,,,,6315.15,6187566,Meydan,,Public Facilities
10307482,Nad Al Shiba First,95-,,,,,,,,,,,,,,491.62,6189036,Meydan,,Public Facilities
29402788,Nad Al Shiba First,950-,,,,,,,,,,,,,,30570.47,6184115,Meydan,,Public Facilities
32571651,Nad Al Shiba First,954-,,,,,,,,,,,,,,4406.32,6187555,Meydan,,Public Facilities
32571653,Nad Al Shiba First,955-,,,,,,,,,,,,,,4150.02,6187556,Meydan,,Public Facilities
32571665,Nad Al Shiba First,956-,,,,,,,,,,,,,,4150.03,6187557,Meydan,,Public Facilities
32571667,Nad Al Shiba First,957-,,,,,,,,,,,,,,4150.03,6187558,Meydan,,Public Facilities
32571669,Nad Al Shiba First,958-,,,,,,,,,,,,,,4150.0,6187559,Meydan,,Public Facilities
32571671,Nad Al Shiba First,959-,,,,,,,,,,,,,,4540.92,6187560,Meydan,,Public Facilities
10307484,Nad Al Shiba First,96-,,,,,,,,,,,,,,504.01,6189095,Meydan,,Public Facilities
10307487,Nad Al Shiba First,97-,,,,,,,,,,,,,,504.01,6189096,Meydan,,Public Facilities
10307489,Nad Al Shiba First,98-,,,,,,,,,,,,,,684.93,6188845,Meydan,,Public Facilities
10307491,Nad Al Shiba First,99-,,,,,,,,,,,,,,879.62,6189026,Meydan,,Public Facilities
