p-number,location,unit,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
53061511,Wadi Al Safa 5,2389-,LA QUINTA-P13_012,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061513,Wadi Al Safa 5,2390-,LA QUINTA-P13_013,,,,,,,,,,,,480.27,,,La Quinta,Commercial
53061515,Wadi Al Safa 5,2391-,LA QUINTA-P13_014,,,,,,,,,,,,441.19,,,La Quinta,Commercial
53061517,Wadi Al Safa 5,2392-,LA QUINTA-P13_015,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061519,Wadi Al Safa 5,2393-,LA QUINTA-P13_016,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53061521,Wadi Al Safa 5,2394-,LA QUINTA-P13_017,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061523,Wadi Al Safa 5,2395-,LA QUINTA-P13_018,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061525,Wadi Al Safa 5,2396-,LA QUINTA-P13_019,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061527,Wadi Al Safa 5,2397-,LA QUINTA-P13_020,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53061529,Wadi Al Safa 5,2398-,LA QUINTA-P13_021,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061531,Wadi Al Safa 5,2399-,LA QUINTA-P13_022,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061533,Wadi Al Safa 5,2400-,LA QUINTA-P13_023,,,,,,,,,,,,323.07,,,La Quinta,Commercial
53061535,Wadi Al Safa 5,2401-,LA QUINTA-P13_024,,,,,,,,,,,,722.88,,,La Quinta,Commercial
53061537,Wadi Al Safa 5,2402-,LA QUINTA-P13_026,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53061539,Wadi Al Safa 5,2403-,LA QUINTA-P13_027,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061541,Wadi Al Safa 5,2404-,LA QUINTA-P13_028,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061543,Wadi Al Safa 5,2405-,LA QUINTA-P13_029,,,,,,,,,,,,400.0,,,La Quinta,Commercial
