p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
139709784,Madinat Al Mataar,493-,Parklane Residence 2,,1011,7.27,1,0.1,10,1 B/R,,,,,,62.68,,Dubai World Central,Parklane Residence,Government Authorities
139709878,Madinat Al Mataar,493-,Parklane Residence 2,,1012,3.39,1,0.05,10,Studio,,,,,,34.71,,Dubai World Central,Parklane Residence,Government Authorities
139709972,Madinat Al Mataar,493-,Parklane Residence 2,,1013,3.35,1,0.06,10,Studio,,,,,,35.84,,Dubai World Central,Parklane Residence,Government Authorities
139710066,Madinat Al Mataar,493-,Parklane Residence 2,,1014,5.67,1,0.15,10,2 B/R,,,,,,98.83,,Dubai World Central,Parklane Residence,Government Authorities
139710160,Madinat Al Mataar,493-,Parklane Residence 2,,1015,5.82,1,0.1,10,1 B/R,,,,,,62.58,,Dubai World Central,Parklane Residence,Government Authorities
139710254,Madinat Al Mataar,493-,Parklane Residence 2,,1016,11.22,1,0.16,10,2 B/R,,,,,,101.67,,Dubai World Central,Parklane Residence,Government Authorities
139710348,Madinat Al Mataar,493-,Parklane Residence 2,,1101,18.53,2,0.29,11,3 B/R,,,,,,186.52,,Dubai World Central,Parklane Residence,Government Authorities
139710442,Madinat Al Mataar,493-,Parklane Residence 2,,1102,12.3,1,0.19,11,2 B/R,,,,,,122.38,,Dubai World Central,Parklane Residence,Government Authorities
139710536,Madinat Al Mataar,493-,Parklane Residence 2,,1103,12.3,1,0.19,11,2 B/R,,,,,,123.56,,Dubai World Central,Parklane Residence,Government Authorities
139710630,Madinat Al Mataar,493-,Parklane Residence 2,,1104,12.3,1,0.19,11,2 B/R,,,,,,123.13,,Dubai World Central,Parklane Residence,Government Authorities
139710724,Madinat Al Mataar,493-,Parklane Residence 2,,1105,18.53,2,0.29,11,3 B/R,,,,,,186.57,,Dubai World Central,Parklane Residence,Government Authorities
139710818,Madinat Al Mataar,493-,Parklane Residence 2,,1106,5.67,1,0.15,11,2 B/R,,,,,,98.83,,Dubai World Central,Parklane Residence,Government Authorities
139710912,Madinat Al Mataar,493-,Parklane Residence 2,,1107,11.22,1,0.16,11,2 B/R,,,,,,101.96,,Dubai World Central,Parklane Residence,Government Authorities
139711006,Madinat Al Mataar,493-,Parklane Residence 2,,1108,11.22,1,0.16,11,2 B/R,,,,,,101.96,,Dubai World Central,Parklane Residence,Government Authorities
139711100,Madinat Al Mataar,493-,Parklane Residence 2,,1109,5.85,1,0.15,11,2 B/R,,,,,,97.34,,Dubai World Central,Parklane Residence,Government Authorities
139699162,Madinat Al Mataar,493-,Parklane Residence 2,,310,6.15,1,0.1,3,1 B/R,,,,,,61.94,,Dubai World Central,Parklane Residence,Government Authorities
139699256,Madinat Al Mataar,493-,Parklane Residence 2,,311,7.27,1,0.1,3,1 B/R,,,,,,62.68,,Dubai World Central,Parklane Residence,Government Authorities
