p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
33410514,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G09,4.64,1,0.16,G,1 B/R,,,,,,61.1,,,RUKAN,
33410518,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,G10,4.64,1,0.16,G,1 B/R,,,,,,61.14,,,RUKAN,
33411071,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,209,2.74,1,0.2,2,1 B/R,,,,,,73.98,,,RUKAN,
33411075,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,210,9.56,1,0.19,2,1 B/R,,,,,,69.7,,,RUKAN,
33411079,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,211,9.56,1,0.19,2,1 B/R,,,,,,69.7,,,RUKAN,
33410534,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,102,13.05,1,0.3,1,2 B/R,,,,,,110.78,,,RUKAN,
33410538,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,103,9.56,1,0.2,1,1 B/R,,,,,,74.26,,,RUKAN,
33410542,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,104,8.19,1,0.12,1,,,,,,,43.46,,,RUKAN,
33410546,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,105,12.59,1,0.2,1,1 B/R,,,,,,76.37,,,RUKAN,
33410550,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,106,8.19,1,0.12,1,,,,,,,43.46,,,RUKAN,
33410554,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,107,9.56,1,0.2,1,1 B/R,,,,,,74.26,,,RUKAN,
33410558,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,108,13.05,1,0.3,1,2 B/R,,,,,,110.78,,,RUKAN,
33410562,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,109,2.74,1,0.2,1,1 B/R,,,,,,73.98,,,RUKAN,
33410566,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,110,9.56,1,0.19,1,1 B/R,,,,,,69.7,,,RUKAN,
33410570,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,111,9.56,1,0.19,1,1 B/R,,,,,,69.7,,,RUKAN,
33410574,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,112,4.64,1,0.16,1,1 B/R,,,,,,61.1,,,RUKAN,
33410578,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,113,4.64,1,0.16,1,1 B/R,,,,,,61.14,,,RUKAN,
33410582,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,114,9.56,1,0.19,1,1 B/R,,,,,,69.7,,,RUKAN,
33410586,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,115,9.56,1,0.19,1,1 B/R,,,,,,69.7,,,RUKAN,
33410590,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,201,2.74,1,0.2,2,1 B/R,,,,,,73.98,,,RUKAN,
33411143,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,312,4.64,1,0.16,3,1 B/R,,,,,,61.1,,,RUKAN,
33411147,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,313,4.64,1,0.16,3,1 B/R,,,,,,61.14,,,RUKAN,
33411151,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,314,9.56,1,0.19,3,1 B/R,,,,,,69.7,,,RUKAN,
33411155,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,315,9.56,1,0.19,3,1 B/R,,,,,,69.7,,,RUKAN,
33411159,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,401,2.74,1,0.2,4,1 B/R,,,,,,73.98,,,RUKAN,
33411163,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,402,13.05,1,0.3,4,2 B/R,,,,,,110.78,,,RUKAN,
33411167,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,403,9.56,1,0.2,4,1 B/R,,,,,,74.26,,,RUKAN,
33411171,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,404,8.19,1,0.12,4,,,,,,,43.46,,,RUKAN,
33411175,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,405,12.59,1,0.2,4,1 B/R,,,,,,76.37,,,RUKAN,
