p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
51454796,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,180.0,6486486,,Villanova Amaranta ,Commercial
51454918,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,179.2,6486486,,Villanova Amaranta ,Commercial
51453454,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486486,,Villanova Amaranta ,Commercial
51453576,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486486,,Villanova Amaranta ,Commercial
51453698,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,193.54,6486486,,Villanova Amaranta ,Commercial
51453820,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,179.3,6486486,,Villanova Amaranta ,Commercial
51453942,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,178.88,6486486,,Villanova Amaranta ,Commercial
51454064,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,150.76,6486486,,Villanova Amaranta ,Commercial
51454186,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,180.0,6486486,,Villanova Amaranta ,Commercial
51454308,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,194.11,6486486,,Villanova Amaranta ,Commercial
51453088,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,150.76,6486486,,Villanova Amaranta ,Commercial
51453210,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,179.99,6486486,,Villanova Amaranta ,Commercial
51453332,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,3 B/R,,,,,,194.11,6486486,,Villanova Amaranta ,Commercial
51454430,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486486,,Villanova Amaranta ,Commercial
51454552,Wadi Al Safa 5,3896-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486486,,Villanova Amaranta ,Commercial
185925970,Wadi Al Safa 5,3897-,,,,,,,,,,,,,,4317.53,6486488,,Villanova Amaranta ,Commercial
51448208,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,154.29,6486488,,Villanova Amaranta ,Commercial
51448330,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,185.37,6486488,,Villanova Amaranta ,Commercial
51448452,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486488,,Villanova Amaranta ,Commercial
51448574,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486488,,Villanova Amaranta ,Commercial
51448696,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486488,,Villanova Amaranta ,Commercial
51448818,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486488,,Villanova Amaranta ,Commercial
51448940,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486488,,Villanova Amaranta ,Commercial
51449062,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486488,,Villanova Amaranta ,Commercial
51449184,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,154.28,6486488,,Villanova Amaranta ,Commercial
51449306,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486488,,Villanova Amaranta ,Commercial
51449428,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486488,,Villanova Amaranta ,Commercial
51449550,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486488,,Villanova Amaranta ,Commercial
51449672,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486488,,Villanova Amaranta ,Commercial
51449794,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486488,,Villanova Amaranta ,Commercial
51449916,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486488,,Villanova Amaranta ,Commercial
51450038,Wadi Al Safa 5,3897-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486488,,Villanova Amaranta ,Commercial
51446622,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486489,,Villanova Amaranta ,Commercial
51446744,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486489,,Villanova Amaranta ,Commercial
51447842,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486489,,Villanova Amaranta ,Commercial
185925972,Wadi Al Safa 5,3898-,,,,,,,,,,,,,,4333.56,6486489,,Villanova Amaranta ,Commercial
51447964,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486489,,Villanova Amaranta ,Commercial
51448086,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486489,,Villanova Amaranta ,Commercial
51446866,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486489,,Villanova Amaranta ,Commercial
51446988,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486489,,Villanova Amaranta ,Commercial
51447110,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486489,,Villanova Amaranta ,Commercial
51447232,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,154.29,6486489,,Villanova Amaranta ,Commercial
51447354,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486489,,Villanova Amaranta ,Commercial
51447476,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486489,,Villanova Amaranta ,Commercial
51447598,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486489,,Villanova Amaranta ,Commercial
51447720,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486489,,Villanova Amaranta ,Commercial
51446256,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,154.29,6486489,,Villanova Amaranta ,Commercial
51446378,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486489,,Villanova Amaranta ,Commercial
51446500,Wadi Al Safa 5,3898-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486489,,Villanova Amaranta ,Commercial
51444304,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,154.2,6486490,,Villanova Amaranta ,Commercial
51444426,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,184.6,6486490,,Villanova Amaranta ,Commercial
51444548,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,197.14,6486490,,Villanova Amaranta ,Commercial
51444670,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486490,,Villanova Amaranta ,Commercial
51444792,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486490,,Villanova Amaranta ,Commercial
51444914,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,196.14,6486490,,Villanova Amaranta ,Commercial
51445036,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,184.64,6486490,,Villanova Amaranta ,Commercial
