p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
6823832,Dubai Investment Park First,352-0,3404,,,,,,2,4 B/R,,,,,,863.91,5980174,Dubai Investment Park First,,Commercial
6823836,Dubai Investment Park First,352-0,3405,,,,,,2,5 B/R,,,,,,1457.99,5980174,Dubai Investment Park First,,Commercial
6823840,Dubai Investment Park First,352-0,3406,,,,,,2,5 B/R,,,,,,1461.76,5980174,Dubai Investment Park First,,Commercial
6823844,Dubai Investment Park First,352-0,3407,,,,,,2,5 B/R,,,,,,1487.79,5980174,Dubai Investment Park First,,Commercial
6823848,Dubai Investment Park First,352-0,3501,,,,,,1,4 B/R,,,,,,960.52,5980174,Dubai Investment Park First,,Commercial
6823852,Dubai Investment Park First,352-0,3502,,,,,,1,4 B/R,,,,,,962.87,5980174,Dubai Investment Park First,,Commercial
6823856,Dubai Investment Park First,352-0,3503,,,,,,1,4 B/R,,,,,,995.84,5980174,Dubai Investment Park First,,Commercial
6823860,Dubai Investment Park First,352-0,3504,,,,,,1,4 B/R,,,,,,1026.34,5980174,Dubai Investment Park First,,Commercial
6823864,Dubai Investment Park First,352-0,3505,,,,,,1,4 B/R,,,,,,1045.52,5980174,Dubai Investment Park First,,Commercial
6823868,Dubai Investment Park First,352-0,3506,,,,,,1,4 B/R,,,,,,1178.97,5980174,Dubai Investment Park First,,Commercial
6823872,Dubai Investment Park First,352-0,3507,,,,,,1,4 B/R,,,,,,1101.63,5980174,Dubai Investment Park First,,Commercial
6824157,Dubai Investment Park First,352-0,3508,,,,,,1,4 B/R,,,,,,1160.25,5980174,Dubai Investment Park First,,Commercial
6824161,Dubai Investment Park First,352-0,3509,,,,,,1,4 B/R,,,,,,1115.91,5980174,Dubai Investment Park First,,Commercial
6824165,Dubai Investment Park First,352-0,3602,,,,,,2,4 B/R,,,,,,809.79,5980174,Dubai Investment Park First,,Commercial
6824169,Dubai Investment Park First,352-0,3604,,,,,,2,4 B/R,,,,,,855.1,5980174,Dubai Investment Park First,,Commercial
6824173,Dubai Investment Park First,352-0,3605,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6824177,Dubai Investment Park First,352-0,3606,,,,,,2,4 B/R,,,,,,918.52,5980174,Dubai Investment Park First,,Commercial
6824181,Dubai Investment Park First,352-0,3607,,,,,,2,4 B/R,,,,,,893.73,5980174,Dubai Investment Park First,,Commercial
6824185,Dubai Investment Park First,352-0,3608,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6824189,Dubai Investment Park First,352-0,3609,,,,,,2,4 B/R,,,,,,904.27,5980174,Dubai Investment Park First,,Commercial
6824193,Dubai Investment Park First,352-0,3611,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6824221,Dubai Investment Park First,352-0,3801,,,,,,1,4 B/R,,,,,,1011.87,5980174,Dubai Investment Park First,,Commercial
6824225,Dubai Investment Park First,352-0,3802,,,,,,1,4 B/R,,,,,,1177.77,5980174,Dubai Investment Park First,,Commercial
6824229,Dubai Investment Park First,352-0,3803,,,,,,1,4 B/R,,,,,,1072.99,5980174,Dubai Investment Park First,,Commercial
6824233,Dubai Investment Park First,352-0,3804,,,,,,1,4 B/R,,,,,,894.69,5980174,Dubai Investment Park First,,Commercial
6824237,Dubai Investment Park First,352-0,3805,,,,,,1,4 B/R,,,,,,955.06,5980174,Dubai Investment Park First,,Commercial
6824241,Dubai Investment Park First,352-0,3806,,,,,,1,4 B/R,,,,,,960.0,5980174,Dubai Investment Park First,,Commercial
6823452,Dubai Investment Park First,352-0,3015,,,,,,2,4 B/R,,,,,,823.96,5980174,Dubai Investment Park First,,Commercial
6823456,Dubai Investment Park First,352-0,3016,,,,,,2,4 B/R,,,,,,770.71,5980174,Dubai Investment Park First,,Commercial
6823460,Dubai Investment Park First,352-0,3017,,,,,,2,4 B/R,,,,,,770.71,5980174,Dubai Investment Park First,,Commercial
6823464,Dubai Investment Park First,352-0,3101,,,,,,2,4 B/R,,,,,,895.19,5980174,Dubai Investment Park First,,Commercial
6823468,Dubai Investment Park First,352-0,3102,,,,,,2,4 B/R,,,,,,771.08,5980174,Dubai Investment Park First,,Commercial
6823472,Dubai Investment Park First,352-0,3103,,,,,,2,4 B/R,,,,,,926.53,5980174,Dubai Investment Park First,,Commercial
6823476,Dubai Investment Park First,352-0,3104,,,,,,2,4 B/R,,,,,,780.49,5980174,Dubai Investment Park First,,Commercial
6824273,Dubai Investment Park First,352-0,3909,,,,,,1,4 B/R,,,,,,910.0,5980174,Dubai Investment Park First,,Commercial
6824277,Dubai Investment Park First,352-0,3910,,,,,,1,4 B/R,,,,,,917.75,5980174,Dubai Investment Park First,,Commercial
6823488,Dubai Investment Park First,352-0,3107,,,,,,2,5 B/R,,,,,,1675.26,5980174,Dubai Investment Park First,,Commercial
6823492,Dubai Investment Park First,352-0,3108,,,,,,2,4 B/R,,,,,,774.3,5980174,Dubai Investment Park First,,Commercial
6823496,Dubai Investment Park First,352-0,3110,,,,,,2,4 B/R,,,,,,893.17,5980174,Dubai Investment Park First,,Commercial
6823500,Dubai Investment Park First,352-0,3112,,,,,,2,4 B/R,,,,,,1001.14,5980174,Dubai Investment Park First,,Commercial
6823504,Dubai Investment Park First,352-0,3113,,,,,,2,4 B/R,,,,,,915.77,5980174,Dubai Investment Park First,,Commercial
6823508,Dubai Investment Park First,352-0,3114,,,,,,2,4 B/R,,,,,,996.29,5980174,Dubai Investment Park First,,Commercial
6823512,Dubai Investment Park First,352-0,3115,,,,,,2,4 B/R,,,,,,830.0,5980174,Dubai Investment Park First,,Commercial
6823516,Dubai Investment Park First,352-0,3116,,,,,,2,4 B/R,,,,,,928.12,5980174,Dubai Investment Park First,,Commercial
6823520,Dubai Investment Park First,352-0,3117,,,,,,2,4 B/R,,,,,,830.0,5980174,Dubai Investment Park First,,Commercial
6823524,Dubai Investment Park First,352-0,3118,,,,,,2,4 B/R,,,,,,882.16,5980174,Dubai Investment Park First,,Commercial
6823528,Dubai Investment Park First,352-0,3119,,,,,,2,4 B/R,,,,,,851.88,5980174,Dubai Investment Park First,,Commercial
6823532,Dubai Investment Park First,352-0,3120,,,,,,2,4 B/R,,,,,,786.5,5980174,Dubai Investment Park First,,Commercial
6823536,Dubai Investment Park First,352-0,3121,,,,,,2,4 B/R,,,,,,793.27,5980174,Dubai Investment Park First,,Commercial
6823540,Dubai Investment Park First,352-0,3122,,,,,,2,4 B/R,,,,,,786.5,5980174,Dubai Investment Park First,,Commercial
6823544,Dubai Investment Park First,352-0,3123,,,,,,2,4 B/R,,,,,,793.27,5980174,Dubai Investment Park First,,Commercial
6823548,Dubai Investment Park First,352-0,3124,,,,,,2,4 B/R,,,,,,755.03,5980174,Dubai Investment Park First,,Commercial
6823552,Dubai Investment Park First,352-0,3125,,,,,,2,4 B/R,,,,,,833.91,5980174,Dubai Investment Park First,,Commercial
6823556,Dubai Investment Park First,352-0,3126,,,,,,2,4 B/R,,,,,,819.98,5980174,Dubai Investment Park First,,Commercial
6823560,Dubai Investment Park First,352-0,3127,,,,,,1,4 B/R,,,,,,1025.23,5980174,Dubai Investment Park First,,Commercial
6823564,Dubai Investment Park First,352-0,3128,,,,,,2,4 B/R,,,,,,772.27,5980174,Dubai Investment Park First,,Commercial
6823568,Dubai Investment Park First,352-0,3129,,,,,,1,4 B/R,,,,,,943.63,5980174,Dubai Investment Park First,,Commercial
6823572,Dubai Investment Park First,352-0,3130,,,,,,2,4 B/R,,,,,,772.27,5980174,Dubai Investment Park First,,Commercial
6823576,Dubai Investment Park First,352-0,3131,,,,,,1,4 B/R,,,,,,996.14,5980174,Dubai Investment Park First,,Commercial
6823580,Dubai Investment Park First,352-0,3132,,,,,,2,4 B/R,,,,,,772.27,5980174,Dubai Investment Park First,,Commercial
6823584,Dubai Investment Park First,352-0,3133,,,,,,1,4 B/R,,,,,,1008.42,5980174,Dubai Investment Park First,,Commercial
6823588,Dubai Investment Park First,352-0,3135,,,,,,1,4 B/R,,,,,,975.56,5980174,Dubai Investment Park First,,Commercial
6823592,Dubai Investment Park First,352-0,3137,,,,,,1,4 B/R,,,,,,1075.73,5980174,Dubai Investment Park First,,Commercial
6823596,Dubai Investment Park First,352-0,3201,,,,,,1,4 B/R,,,,,,1050.6,5980174,Dubai Investment Park First,,Commercial
6823600,Dubai Investment Park First,352-0,3203,,,,,,1,4 B/R,,,,,,1217.47,5980174,Dubai Investment Park First,,Commercial
6823604,Dubai Investment Park First,352-0,3204,,,,,,1,4 B/R,,,,,,906.82,5980174,Dubai Investment Park First,,Commercial
6823608,Dubai Investment Park First,352-0,3206,,,,,,1,4 B/R,,,,,,906.82,5980174,Dubai Investment Park First,,Commercial
6823612,Dubai Investment Park First,352-0,3208,,,,,,1,4 B/R,,,,,,906.82,5980174,Dubai Investment Park First,,Commercial
6823616,Dubai Investment Park First,352-0,3209,,,,,,1,4 B/R,,,,,,971.15,5980174,Dubai Investment Park First,,Commercial
6823620,Dubai Investment Park First,352-0,3210,,,,,,1,4 B/R,,,,,,1011.39,5980174,Dubai Investment Park First,,Commercial
6823624,Dubai Investment Park First,352-0,3211,,,,,,1,4 B/R,,,,,,943.81,5980174,Dubai Investment Park First,,Commercial
6823628,Dubai Investment Park First,352-0,3212,,,,,,1,4 B/R,,,,,,902.01,5980174,Dubai Investment Park First,,Commercial
6823632,Dubai Investment Park First,352-0,3213,,,,,,1,4 B/R,,,,,,943.81,5980174,Dubai Investment Park First,,Commercial
6823636,Dubai Investment Park First,352-0,3214,,,,,,1,4 B/R,,,,,,840.0,5980174,Dubai Investment Park First,,Commercial
